idx,avg_core_id,avg_weight_ns,max_core_id,running_fraction,samples_per_bucket,sentinel_count,total_weight_ns,unique_process_count,unique_thread_count
0,8.894495412844037,1000000.0,11.0,1.0,218.0,0.0,218000000.0,1.0,2.0
1,9.018433179723502,1000000.0,11.0,1.0,217.0,0.0,217000000.0,1.0,2.0
2,8.663551401869158,1000000.0,10.0,1.0,214.0,0.0,214000000.0,1.0,2.0
3,8.827102803738319,1000000.0,10.0,1.0,214.0,0.0,214000000.0,1.0,2.0
4,9.009389671361502,1000000.0,11.0,1.0,213.0,0.0,213000000.0,1.0,2.0
5,8.797169811320755,1000000.0,10.0,1.0,212.0,0.0,212000000.0,1.0,2.0
6,8.849765258215962,1000000.0,10.0,1.0,213.0,0.0,213000000.0,1.0,2.0
7,6.76036866359447,1000000.0,9.0,1.0,217.0,0.0,217000000.0,1.0,2.0
8,4.873831775700935,1000000.0,7.0,1.0,214.0,0.0,214000000.0,1.0,2.0
9,4.796380090497737,1000000.0,6.0,1.0,221.0,0.0,221000000.0,1.0,2.0
10,4.657276995305164,1000000.0,6.0,1.0,213.0,0.0,213000000.0,1.0,3.0
11,4.874418604651162,1000000.0,6.0,1.0,215.0,0.0,215000000.0,1.0,2.0
12,4.746543778801843,1000000.0,5.0,1.0,217.0,0.0,217000000.0,1.0,2.0
13,4.692660550458716,1000000.0,6.0,1.0,218.0,0.0,218000000.0,1.0,2.0
14,4.901408450704225,1000000.0,6.0,1.0,213.0,0.0,213000000.0,1.0,2.0
15,4.824884792626728,1000000.0,6.0,1.0,217.0,0.0,217000000.0,1.0,2.0
16,4.954545454545454,1000000.0,8.0,1.0,220.0,0.0,220000000.0,1.0,2.0
17,4.837209302325581,1000000.0,6.0,1.0,215.0,0.0,215000000.0,1.0,2.0
18,4.644549763033176,1000000.0,5.0,1.0,211.0,0.0,211000000.0,1.0,2.0
19,4.759433962264151,1000000.0,6.0,1.0,212.0,0.0,212000000.0,1.0,2.0
20,4.855140186915888,1000000.0,7.0,1.0,214.0,0.0,214000000.0,1.0,2.0
21,5.093457943925234,1000000.0,7.0,1.0,214.0,0.0,214000000.0,1.0,2.0
22,4.834905660377358,1000000.0,6.0,1.0,212.0,0.0,212000000.0,1.0,2.0
23,4.693023255813953,1000000.0,6.0,1.0,215.0,0.0,215000000.0,1.0,3.0
24,4.826923076923077,1000000.0,6.0,1.0,208.0,0.0,208000000.0,1.0,2.0
