feature_profile,profile_label,config,config_label,case_id,workload,stressor,run_score,run_alert,localization_source,first_block_s,second_block_s,third_block_s,fourth_block_s,fifth_block_s,n_recorded_blocks
full,Full,tier0_tier1,Tier-0/1,PY_STATS__BRANCH,PY_STATS,BRANCH,0.0240788298587764,1,post-persist abnormal windows,728.0,729.0,730.0,731.0,732.0,5
full,Full,tier0_tier1,Tier-0/1,PY_STATS__CACHE,PY_STATS,CACHE,0.0159487534376837,0,diagnosis-selected windows,575.0,576.0,577.0,578.0,579.0,5
full,Full,tier0_tier1,Tier-0/1,PY_STATS__MEMBW,PY_STATS,MEMBW,0.0273025808138103,1,post-persist abnormal windows,91.0,92.0,93.0,94.0,95.0,5
full,Full,tier0_tier1,Tier-0/1,PY_STATS__TLB,PY_STATS,TLB,0.0194468146532895,0,diagnosis-selected windows,942.0,943.0,944.0,945.0,946.0,5
full,Full,tier0_tier1,Tier-0/1,VIDEO_SW__ATOMIC,VIDEO_SW,ATOMIC,0.0180827818383428,0,diagnosis-selected windows,155.0,156.0,157.0,158.0,159.0,5
full,Full,tier0_tier1,Tier-0/1,VIDEO_SW__BRANCH,VIDEO_SW,BRANCH,0.0252263730102899,1,post-persist abnormal windows,836.0,837.0,838.0,839.0,840.0,5
full,Full,tier0_tier1,Tier-0/1,VIDEO_SW__CACHE,VIDEO_SW,CACHE,0.0184107569630279,0,diagnosis-selected windows,218.0,219.0,220.0,221.0,222.0,5
full,Full,tier0_tier1,Tier-0/1,VIDEO_SW__MEMBW,VIDEO_SW,MEMBW,0.0234088173217323,1,post-persist abnormal windows,123.0,124.0,125.0,126.0,127.0,5
full,Full,tier0_tier1,Tier-0/1,VIDEO_SW__TLB,VIDEO_SW,TLB,0.0171728427927346,0,diagnosis-selected windows,711.0,712.0,713.0,714.0,715.0,5
full,Full,tier0_tier1_tier2,Tier-0/1/2,BROWSER__ATOMIC,BROWSER,ATOMIC,0.0043344003612761,0,diagnosis-selected windows,940.0,941.0,942.0,943.0,944.0,5
full,Full,tier0_tier1_tier2,Tier-0/1/2,BROWSER__BRANCH,BROWSER,BRANCH,0.0139301118700387,1,post-persist abnormal windows,91.0,92.0,93.0,94.0,95.0,5
full,Full,tier0_tier1_tier2,Tier-0/1/2,BROWSER__CACHE,BROWSER,CACHE,0.013417631179455,1,post-persist abnormal windows,91.0,92.0,93.0,94.0,95.0,5
full,Full,tier0_tier1_tier2,Tier-0/1/2,BROWSER__MEMBW,BROWSER,MEMBW,0.0081330021905153,1,post-persist abnormal windows,91.0,92.0,93.0,94.0,95.0,5
full,Full,tier0_tier1_tier2,Tier-0/1/2,BROWSER__TLB,BROWSER,TLB,0.0172078963725322,1,post-persist abnormal windows,91.0,92.0,93.0,94.0,95.0,5
full,Full,tier0_tier1_tier2,Tier-0/1/2,PY_AI__ATOMIC,PY_AI,ATOMIC,0.0063136123316848,1,post-persist abnormal windows,345.0,346.0,347.0,348.0,349.0,5
full,Full,tier0_tier1_tier2,Tier-0/1/2,PY_AI__BRANCH,PY_AI,BRANCH,0.0085316066560823,1,post-persist abnormal windows,91.0,92.0,93.0,94.0,95.0,5
full,Full,tier0_tier1_tier2,Tier-0/1/2,PY_AI__CACHE,PY_AI,CACHE,0.0397484557535657,1,post-persist abnormal windows,91.0,92.0,93.0,94.0,95.0,5
full,Full,tier0_tier1_tier2,Tier-0/1/2,PY_AI__MEMBW,PY_AI,MEMBW,0.0094732006510703,1,post-persist abnormal windows,91.0,92.0,93.0,94.0,95.0,5
full,Full,tier0_tier1_tier2,Tier-0/1/2,PY_AI__TLB,PY_AI,TLB,0.0058868584519414,1,post-persist abnormal windows,987.0,988.0,989.0,990.0,991.0,5
full,Full,tier0_tier1_tier2,Tier-0/1/2,PY_STATS__ATOMIC,PY_STATS,ATOMIC,0.0091530862739968,1,post-persist abnormal windows,91.0,92.0,93.0,94.0,95.0,5
full,Full,tier0_tier1_tier2,Tier-0/1/2,PY_STATS__BRANCH,PY_STATS,BRANCH,0.0066369307885157,1,post-persist abnormal windows,553.0,554.0,555.0,556.0,557.0,5
full,Full,tier0_tier1_tier2,Tier-0/1/2,PY_STATS__CACHE,PY_STATS,CACHE,0.0056571502454946,1,post-persist abnormal windows,91.0,92.0,93.0,94.0,95.0,5
full,Full,tier0_tier1_tier2,Tier-0/1/2,PY_STATS__MEMBW,PY_STATS,MEMBW,0.0083197427305424,1,post-persist abnormal windows,91.0,92.0,93.0,94.0,95.0,5
full,Full,tier0_tier1_tier2,Tier-0/1/2,PY_STATS__TLB,PY_STATS,TLB,0.0062361790757019,1,post-persist abnormal windows,707.0,708.0,709.0,710.0,711.0,5
full,Full,tier0_tier1_tier2,Tier-0/1/2,VIDEO_SW__ATOMIC,VIDEO_SW,ATOMIC,0.009217522468373,1,post-persist abnormal windows,91.0,92.0,93.0,94.0,95.0,5
full,Full,tier0_tier1_tier2,Tier-0/1/2,VIDEO_SW__BRANCH,VIDEO_SW,BRANCH,0.0077844740925341,1,post-persist abnormal windows,815.0,816.0,817.0,818.0,819.0,5
full,Full,tier0_tier1_tier2,Tier-0/1/2,VIDEO_SW__CACHE,VIDEO_SW,CACHE,0.0067053679628404,1,post-persist abnormal windows,809.0,810.0,811.0,812.0,813.0,5
full,Full,tier0_tier1_tier2,Tier-0/1/2,VIDEO_SW__MEMBW,VIDEO_SW,MEMBW,0.0093874088651473,1,post-persist abnormal windows,106.0,107.0,108.0,109.0,110.0,5
full,Full,tier0_tier1_tier2,Tier-0/1/2,VIDEO_SW__TLB,VIDEO_SW,TLB,0.0067838847318178,1,post-persist abnormal windows,628.0,629.0,630.0,631.0,632.0,5
