feature_profile,feature_name,rank_score,disc_score,stability_score
full,tier0:soft_interrupts,54.625501081801445,149.58595950527473,0.13335496954342752
full,tier0:uptime_s,25.29499799290726,49.80502519861277,0.25794253890404395
full,tier2:last_sample_time_ns,10.329731211083368,10.747650210621911,0.9237426475456421
full,tier2:first_sample_time_ns,10.216042673106289,10.216042673106289,1.0
full,tier0:pids_count,7.634590521554562,229.9131958091149,0.001102665282956664
full,tier1_alt:memory_swap_total,6.585474880232267,146.2306919861351,0.002028136237024795
full,tier0:load15,3.1427711944120413,51.59228129420395,0.0037107018789322645
full,tier0:swap_sin_bytes,2.9092224375345577,13.932010392145967,0.0436039946207621
full,tier0:swap_sout_bytes,2.70782735528342,9.44277104071126,0.08223241100229589
full,tier0:net_sent_Pps,2.111062403380839,100.50177222378196,0.00044121950443829085
full,tier0:load5,1.610250713920396,47.27048775047097,0.0011603976316669166
full,tier0:swap_used_bytes,1.5826798653857133,30.743638312511337,0.002650181575623462
full,tier1_alt:memory_swap_usage,1.212520157965865,26.643893848129178,0.002071011666558912
full,tier2:unique_process_count,1.1693631325102587,172.03520871380152,4.6202355490243575e-05
full,tier0:swap_percent,1.1349887074638436,35.230936660719145,0.0010378502681153666
full,tier0:swap_free_bytes,1.07340468035255,36.41948995745687,0.0008686788555224995
full,tier1_alt:ram_power,0.9873478261154733,90.22879456265257,0.00011974297335012098
full,tier0:swap_total_bytes,0.9665554049345922,21.00302876779954,0.0021178229633394803
full,tier0:mem_free_bytes,0.8477929354478325,48.00764872437201,0.00031185931070449284
full,tier0:ctx_switches,0.834268957304851,54.551510366004536,0.0002338829749057965
full,tier2:unique_thread_count,0.6999853241121025,95.68284364962363,5.351921338814275e-05
full,tier0:mem_percent,0.6964532920861651,33.55302762305834,0.00043084450908312304
full,tier0:mem_available_bytes,0.6836107819619063,32.936124723016434,0.0004307971390768559
full,tier0:mem_inactive_bytes,0.681830985873554,34.811321707361415,0.0003836298943746141
full,tier1_alt:sys_power,0.6749173218076394,45.88500656239306,0.00021635132170128805
full,tier0:load1,0.6162399584229611,45.330632384969626,0.00018480603767071977
full,tier0:syscalls,0.6129114190746625,32.027434590302015,0.0003662276410643168
full,tier0:mem_active_bytes,0.5745197574585355,40.930934096870104,0.00019701832617548818
full,tier1_alt:gpu_usage_0,0.35816282337348515,42.07454095752508,7.246398892355367e-05
full,tier1_alt:all_power,0.31930544520124676,28.689053690978724,0.00012387401180151953
full,tier1_alt:pcpu_usage_0,0.2596643514005689,15.140529872670786,0.00029413216011707835
full,tier1_alt:ecpu_usage_0,0.2512671655201924,13.618299837177892,0.00034042833242573433
full,tier0:net_sent_Bps,0.23413642085740255,20.30902855006217,0.00013291060967254552
full,tier1_alt:gpu_usage_1,0.22457868522454333,59.68529329418887,1.4158016211103991e-05
full,tier0:mem_used_bytes,0.2043039559945961,9.66338085396109,0.00044698748069553674
full,tier1_alt:gpu_power,0.17715809742993358,127.86211231540564,1.919721662287593e-06
full,tier2:sentinel_count,0.16840027542828398,36.88128793428021,2.0848433926481943e-05
full,tier0:cpu3_pct,0.14320068439058772,23.230878449889556,3.799784109347434e-05
full,tier0:cpu7_pct,0.1373826380492417,18.783943990184383,5.349215986742793e-05
full,tier0:cpu1_pct,0.1352620827929451,17.925548096882828,5.69386615035521e-05
full,tier2:max_core_id,0.1342495843437559,7.4848936214832245,0.00032170264733287897
full,tier0:net_recv_Pps,0.12477900343645686,11.09483847255624,0.00012648559204137398
full,tier0:cpu2_pct,0.12118925712759951,16.715272526301614,5.256556335231382e-05
full,tier0:cpu11_pct,0.11025481786642549,14.886755111146323,5.4852327945532244e-05
full,tier1_alt:ane_power,0.10939612729950539,11.689001389881811,8.758890062749548e-05
full,tier1_alt:memory_ram_usage,0.10787053082791466,8.799381671587836,0.00015028004646533706
full,tier1_alt:temp_gpu_temp_avg,0.10486067690384163,14.08428591480916,5.5431374564529646e-05
full,tier2:avg_core_id,0.10420158856453103,6.469911375346635,0.0002593892755707029
full,tier0:cpu0_pct,0.0993385289582279,12.526867399780182,6.288549566354881e-05
full,tier0:cpu_times_user_pct,0.09679174274360074,10.576045335306173,8.375871603706111e-05
full,tier1_alt:temp_cpu_temp_avg,0.09023696621296692,6.336510743972979,0.00020280031276840302
full,tier0:mem_wired_bytes,0.08741077294449341,19.61290842165783,1.9863049283882527e-05
full,tier0:interrupts,0.08273362507396141,18.731296524146305,1.950870446991863e-05
full,tier1_alt:cpu_power,0.08212802846052969,9.825746249515825,6.986371995500907e-05
full,tier0:cpu_times_system_pct,0.08181035414772693,11.30043880873286,5.241142037414036e-05
full,tier1_alt:ecpu_usage_1,0.07510590961797539,8.499290000026054,7.808775279337143e-05
full,tier1_alt:pcpu_usage_1,0.06492167885952045,8.232474897132668,6.218972750472643e-05
full,tier0:cpu_pct,0.06206584634197751,6.9979608670539175,7.866152190365355e-05
full,tier0:disk_write_IOPS,0.05851769864141907,23.211391603042088,6.355827748226667e-06
full,tier0:net_recv_Bps,0.05593924256800863,6.847997758145361,6.672766751765628e-05
full,tier0:disk_read_Bps,0.04154472369073121,22.813328749471275,3.3163047423889905e-06
full,tier2:total_weight_ns,0.03059237429891811,4.5305920177310375,4.559491994382505e-05
full,tier2:running_count,0.03059237429876599,4.53059201770852,4.559491994382481e-05
full,tier2:samples_per_bucket,0.03059237429876599,4.53059201770852,4.559491994382481e-05
full,tier0:disk_read_IOPS,0.026292083319942264,14.764079814621587,3.171299296008503e-06
full,tier0:cpu9_pct,0.021559271590182234,6.806164682406488,1.0033749650008326e-05
full,tier0:disk_write_Bps,0.020618247537231047,17.780642363725608,1.3446479844640597e-06
full,tier0:cpu4_pct,0.0169639013197534,2.1581122016083607,6.178789994247638e-05
full,tier1_alt:gpu_ram_power,0.015288052152933553,3.3219573589813813,2.1179524431680298e-05
full,tier2:sample_span_ns,0.01399052940077826,1.7009240315004612,6.765477635181957e-05
full,tier0:cpu8_pct,0.013190462909221611,1.7406135882954146,5.7426894973307366e-05
full,tier0:cpu5_pct,0.012483473754951827,3.6622700115062514,1.1619038307464177e-05
full,tier0:cpu6_pct,0.006101292566822958,3.7601952313223266,2.6328305739969983e-06
full,tier0:cpu10_pct,0.004844671643593426,3.1335031620406255,2.390388110454671e-06
full,tier0:cpu_times_idle_pct,0.0,0.0,0.00023618925876303418
