feature_profile,profile_label,config,config_label,case_id,workload,stressor,label,run_score,run_score_wc,run_alert,first_block_alert_s,time_to_detect_s,n_blocks,warning_source,first_warning_s,first_warning_window_start_s,first_warning_window_end_s,first_warning_block_idx,warning_dominant_tier,warning_dominant_mechanism,warning_top_feature_1,warning_top_feature_score_1,warning_top_feature_2,warning_top_feature_score_2,warning_threshold,run_duration_s,warning_available,workload_crash,stressor_crash,run_start_utc,run_end_utc,crash_time_utc,crash_time_s,monitor_duration_s,crash_outcome_observed,crash_detected,crash_source,crash_kind,diagnostic_report_path,system_log_path,screenshot_path,evidence_note,lead_time_s,warning_before_crash,late_warning_after_crash,warning_without_observed_crash,missing_warning_before_crash
full,Full,tier0_tier1_tier2,Tier-0/1/2,VIDEO_SW__TLB,VIDEO_SW,TLB,1,0.0067838847318178,0.0004815404850571,1,627.0,628.0,910,first_persistent_alert,628.0,538.0,628.0,538.0,tier0,memory_io,tier0:soft_interrupts,0.0007211452456339,tier0:uptime_s,0.0004642440705034,0.0054972916765485,999.0,1,,,,,,,,0,0,,,,,,,,0,0,0,0
full,Full,tier0_tier1_tier2,Tier-0/1/2,VIDEO_SW__NOMINAL,VIDEO_SW,NOMINAL,0,0.0063023442467607,0.0,0,,,910,no_detected_warning,,,,,,,,,,,,999.0,0,VIDEO_SW,NOMINAL,2026-03-31 21:44:45+00:00,2026-03-31 21:48:50+00:00,,,245.561178,1,0,,,,/Users/hsiaopingni/Documents/New project/DICE/data generation/dataset/ITC_M2Pro_DATA/workload_crash_pilots/data_workload_crash_pilot_real_video_membw/crash_evidence/VIDEO_SW__NOMINAL/system_logs/crash_window.jsonl,.,,,0,0,0,0
full,Full,tier0_tier1_tier2,Tier-0/1/2,PY_AI__ATOMIC,PY_AI,ATOMIC,1,0.0063136123316848,0.0045117001707533,1,344.0,345.0,910,first_persistent_alert,345.0,255.0,345.0,255.0,tier0,memory_io,tier0:mem_free_bytes,0.0002899359928796,tier0:mem_available_bytes,0.0002367413065307,0.0054972916765485,999.0,1,,,,,,,,0,0,,,,,,,,0,0,0,0
full,Full,tier0_tier1_tier2,Tier-0/1/2,PY_AI__BRANCH,PY_AI,BRANCH,1,0.0085316066560823,0.0067296944951508,1,90.0,91.0,910,first_persistent_alert,91.0,1.0,91.0,1.0,tier0,memory_io,tier1_alt:ane_power,0.0021492369628122,tier0:mem_free_bytes,0.0003330025292621,0.0054972916765485,999.0,1,,,,,,,,0,0,,,,,,,,0,0,0,0
full,Full,tier0_tier1_tier2,Tier-0/1/2,PY_AI__CACHE,PY_AI,CACHE,1,0.0397484557535657,0.0379465435926342,1,90.0,91.0,910,first_persistent_alert,91.0,1.0,91.0,1.0,tier2,compute,tier2:first_sample_time_ns,0.0128496246889994,tier2:last_sample_time_ns,0.011900251444912,0.0054972916765485,999.0,1,PY_AI,CACHE,2026-03-31 15:15:06+00:00,2026-03-31 16:04:08+00:00,2026-03-31 15:18:40+00:00,214.779384,2942.701153,1,1,"diagnostic_report,screenshot",system_or_app_crash,/Users/hsiaopingni/Documents/New project/DICE/data generation/dataset/ITC_M2Pro_DATA/workload_crash_pilots/data_workload_crash_pilot_real_py_ai_cache/crash_evidence/PY_AI__CACHE_ABORT/diagnostic_reports/python3.11-2026-03-31-081840.ips,/Users/hsiaopingni/Documents/New project/DICE/data generation/dataset/ITC_M2Pro_DATA/workload_crash_pilots/data_workload_crash_pilot_real_py_ai_cache/crash_evidence/PY_AI__CACHE_ABORT/system_logs/crash_window.jsonl,/Users/hsiaopingni/Documents/New project/DICE/data generation/dataset/ITC_M2Pro_DATA/workload_crash_pilots/data_workload_crash_pilot_real_py_ai_cache/crash_evidence/PY_AI__CACHE_ABORT/screenshots/post_run_capture.png,,123.779384,1,0,0,0
full,Full,tier0_tier1_tier2,Tier-0/1/2,PY_AI__MEMBW,PY_AI,MEMBW,1,0.0094732006510703,0.0076712884901388,1,90.0,91.0,910,first_persistent_alert,91.0,1.0,91.0,1.0,tier0,memory_io,tier0:soft_interrupts,0.0007030983932862,tier0:uptime_s,0.0005220848855537,0.0054972916765485,999.0,1,,,,,,,,0,0,,,,,,,,0,0,0,0
full,Full,tier0_tier1_tier2,Tier-0/1/2,PY_AI__TLB,PY_AI,TLB,1,0.0058868584519414,0.0040849462910099,1,986.0,987.0,910,first_persistent_alert,987.0,897.0,987.0,897.0,tier0,memory_io,tier1_alt:ane_power,0.0010582254708571,tier0:mem_free_bytes,0.0002584451144652,0.0054972916765485,999.0,1,,,,,,,,0,0,,,,,,,,0,0,0,0
full,Full,tier0_tier1_tier2,Tier-0/1/2,PY_AI__NOMINAL,PY_AI,NOMINAL,0,0.0018019121609314,0.0,0,,,910,no_detected_warning,,,,,,,,,,,,999.0,0,PY_AI,NOMINAL,2026-03-31 13:45:44+00:00,2026-03-31 14:56:59+00:00,2026-03-30 17:37:16+00:00,-72508.0,4275.241071,1,0,"diagnostic_report,screenshot",system_or_app_crash,/Users/hsiaopingni/Documents/New project/DICE/data generation/dataset/ITC_M2Pro_DATA/workload_crash_pilots/data_workload_crash_pilot_real_py_ai_cache/crash_evidence/PY_AI__NOMINAL/diagnostic_reports/xctrace_2026-03-31-075226_MacBook-Pro-2.diag;/Users/hsiaopingni/Documents/New project/DICE/data generation/dataset/ITC_M2Pro_DATA/workload_crash_pilots/data_workload_crash_pilot_real_py_ai_cache/crash_evidence/PY_AI__NOMINAL/diagnostic_reports/suggestd_2026-03-30-203333_MacBook-Pro-2.diag;/Users/hsiaopingni/Documents/New project/DICE/data generation/dataset/ITC_M2Pro_DATA/workload_crash_pilots/data_workload_crash_pilot_real_py_ai_cache/crash_evidence/PY_AI__NOMINAL/diagnostic_reports/OneDrive_2026-03-31-061713_MacBook-Pro-2.cpu_resource.diag;/Users/hsiaopingni/Documents/New project/DICE/data generation/dataset/ITC_M2Pro_DATA/workload_crash_pilots/data_workload_crash_pilot_real_py_ai_cache/crash_evidence/PY_AI__NOMINAL/diagnostic_reports/com.apple.WebKit.WebContent_2026-03-30-173716_MacBook-Pro-2.cpu_resource.diag;/Users/hsiaopingni/Documents/New project/DICE/data generation/dataset/ITC_M2Pro_DATA/workload_crash_pilots/data_workload_crash_pilot_real_py_ai_cache/crash_evidence/PY_AI__NOMINAL/diagnostic_reports/coresymbolicationd_2026-03-31-074903_MacBook-Pro-2.diag;/Users/hsiaopingni/Documents/New project/DICE/data generation/dataset/ITC_M2Pro_DATA/workload_crash_pilots/data_workload_crash_pilot_real_py_ai_cache/crash_evidence/PY_AI__NOMINAL/diagnostic_reports/bird_2026-03-30-185509_MacBook-Pro-2.diag;/Users/hsiaopingni/Documents/New project/DICE/data generation/dataset/ITC_M2Pro_DATA/workload_crash_pilots/data_workload_crash_pilot_real_py_ai_cache/crash_evidence/PY_AI__NOMINAL/diagnostic_reports/suggestd_2026-03-30-195038_MacBook-Pro-2.cpu_resource.diag;/Users/hsiaopingni/Documents/New project/DICE/data generation/dataset/ITC_M2Pro_DATA/workload_crash_pilots/data_workload_crash_pilot_real_py_ai_cache/crash_evidence/PY_AI__NOMINAL/diagnostic_reports/xctrace_2026-03-31-065153_MacBook-Pro-2.diag;/Users/hsiaopingni/Documents/New project/DICE/data generation/dataset/ITC_M2Pro_DATA/workload_crash_pilots/data_workload_crash_pilot_real_py_ai_cache/crash_evidence/PY_AI__NOMINAL/diagnostic_reports/duetexpertd_2026-03-30-193802_MacBook-Pro-2.cpu_resource.diag;/Users/hsiaopingni/Documents/New project/DICE/data generation/dataset/ITC_M2Pro_DATA/workload_crash_pilots/data_workload_crash_pilot_real_py_ai_cache/crash_evidence/PY_AI__NOMINAL/diagnostic_reports/codex_2026-03-30-222450_MacBook-Pro-2.diag,/Users/hsiaopingni/Documents/New project/DICE/data generation/dataset/ITC_M2Pro_DATA/workload_crash_pilots/data_workload_crash_pilot_real_py_ai_cache/crash_evidence/PY_AI__NOMINAL/system_logs/crash_window.jsonl,/Users/hsiaopingni/Documents/New project/DICE/data generation/dataset/ITC_M2Pro_DATA/workload_crash_pilots/data_workload_crash_pilot_real_py_ai_cache/crash_evidence/PY_AI__NOMINAL/screenshots/post_run_capture.png,Ignored invalid relative crash time for early-warning lead-time analysis.,,0,0,0,0
full,Full,tier0_tier1_tier2,Tier-0/1/2,PY_STATS__ATOMIC,PY_STATS,ATOMIC,1,0.0091530862739968,0.0073436384186745,1,90.0,91.0,910,first_persistent_alert,91.0,1.0,91.0,1.0,tier0,memory_io,tier0:uptime_s,0.0014331931257551,tier0:soft_interrupts,0.000782910571457,0.0054972916765485,999.0,1,PY_STATS,ATOMIC,2026-04-01 02:36:35+00:00,2026-04-01 02:40:46+00:00,2026-04-01 02:39:49+00:00,194.496976,251.182787,1,1,"diagnostic_report,screenshot",system_or_app_crash,/Users/hsiaopingni/Documents/New project/DICE/data generation/dataset/ITC_M2Pro_DATA/workload_crash_pilots/data_workload_crash_pilot_real_py_stats_atomic/crash_evidence/PY_STATS__ATOMIC_ABORT/diagnostic_reports/python3.11-2026-03-31-193949.ips,/Users/hsiaopingni/Documents/New project/DICE/data generation/dataset/ITC_M2Pro_DATA/workload_crash_pilots/data_workload_crash_pilot_real_py_stats_atomic/crash_evidence/PY_STATS__ATOMIC_ABORT/system_logs/crash_window.jsonl,/Users/hsiaopingni/Documents/New project/DICE/data generation/dataset/ITC_M2Pro_DATA/workload_crash_pilots/data_workload_crash_pilot_real_py_stats_atomic/crash_evidence/PY_STATS__ATOMIC_ABORT/screenshots/post_run_capture.png,,103.49697599999999,1,0,0,0
full,Full,tier0_tier1_tier2,Tier-0/1/2,PY_STATS__BRANCH,PY_STATS,BRANCH,1,0.0066369307885157,0.0048274829331934,1,552.0,553.0,910,first_persistent_alert,553.0,463.0,553.0,463.0,tier0,memory_io,tier0:uptime_s,0.0009605055150717,tier0:soft_interrupts,0.000530877521494,0.0054972916765485,999.0,1,,,,,,,,0,0,,,,,,,,0,0,0,0
full,Full,tier0_tier1_tier2,Tier-0/1/2,PY_STATS__CACHE,PY_STATS,CACHE,1,0.0056571502454946,0.0038477023901722,1,90.0,91.0,910,first_persistent_alert,91.0,1.0,91.0,1.0,tier0,memory_io,tier0:soft_interrupts,0.0005048178973855,tier0:mem_free_bytes,0.0004590160712434,0.0054972916765485,999.0,1,,,,,,,,0,0,,,,,,,,0,0,0,0
full,Full,tier0_tier1_tier2,Tier-0/1/2,PY_STATS__MEMBW,PY_STATS,MEMBW,1,0.0083197427305424,0.0065102948752201,1,90.0,91.0,910,first_persistent_alert,91.0,1.0,91.0,1.0,tier0,memory_io,tier0:uptime_s,0.0009542025938988,tier0:mem_free_bytes,0.0004725604550097,0.0054972916765485,999.0,1,,,,,,,,0,0,,,,,,,,0,0,0,0
full,Full,tier0_tier1_tier2,Tier-0/1/2,PY_STATS__TLB,PY_STATS,TLB,1,0.0062361790757019,0.0044267312203795,1,699.0,707.0,910,first_persistent_alert,707.0,617.0,707.0,617.0,tier0,compute,tier0:uptime_s,0.0008494527924673,tier0:soft_interrupts,0.0007210964898041,0.0054972916765485,999.0,1,,,,,,,,0,0,,,,,,,,0,0,0,0
full,Full,tier0_tier1_tier2,Tier-0/1/2,PY_STATS__NOMINAL,PY_STATS,NOMINAL,0,0.0018094478553223,0.0,0,,,910,no_detected_warning,,,,,,,,,,,,999.0,0,PY_STATS,NOMINAL,2026-04-01 02:15:49+00:00,2026-04-01 02:19:55+00:00,,,246.36628,1,0,,,,/Users/hsiaopingni/Documents/New project/DICE/data generation/dataset/ITC_M2Pro_DATA/workload_crash_pilots/data_workload_crash_pilot_real_py_stats_atomic/crash_evidence/PY_STATS__NOMINAL/system_logs/crash_window.jsonl,.,,,0,0,0,0
