feature_profile,stressor,roc_auc,pr_auc,roc_auc_wc,pr_auc_wc,median_neg_score,median_pos_score,median_neg_score_wc,median_pos_score_wc,pos_neg_ratio,pos_neg_diff,pos_neg_ratio_wc,pos_neg_diff_wc
mixed,ATOMIC,0.8125,0.8041666666666667,1.0,1.0,4.7629054507672235e-05,9.876004954583885e-05,0.0,5.737889475512428e-05,2.051449499806739,5.1130995038166615e-05,58.37889475512428,5.737889475512428e-05
mixed,BRANCH,0.9375,0.95,1.0,1.0,4.7629054507672235e-05,0.0001859789606893729,0.0,0.00012499023487386147,3.845005060912157,0.00013834990618170065,125.99023487386147,0.00012499023487386147
mixed,CACHE,0.8125,0.8041666666666667,1.0,1.0,4.7629054507672235e-05,0.00010023110240536725,0.0,6.097107818243485e-05,2.081699992530103,5.2602047897695015e-05,61.971078182434844,6.097107818243485e-05
mixed,MEMBW,0.875,0.8875,1.0,1.0,4.7629054507672235e-05,0.00016072897399589946,0.0,9.272424398164842e-05,3.3257684245204353,0.00011309991948822723,93.72424398164841,9.272424398164842e-05
mixed,TLB,0.75,0.6791666666666667,1.0,1.0,4.7629054507672235e-05,0.00011314943872464229,0.0,5.369088935718625e-05,2.3473505680977795,6.552038421697006e-05,54.69088935718625,5.369088935718625e-05
