config,n_cases,top1_acc,top2_acc,macro_f1,mean_margin_to_second,feature_profile
tier0,20,0.3,0.55,0.21818181818181817,0.0005113541071716869,mixed
tier0_tier1,20,0.2,0.45,0.18,3.1246678379683272e-06,mixed
tier0_tier1_tier2,20,0.2,0.5,0.1743145743145743,4.373928256587118e-06,mixed
