workload,source_file,power_col,mean_power_w,p95_power_w,energy_j
BROWSER,tier1_alt_full_5hz.csv,sys_power,10.412493518352509,15.749275207519531,10412.493518352509
PY_AI,tier1_alt_full_5hz.csv,sys_power,63.737559777450564,97.93477630615234,63737.559777450566
PY_STATS,tier1_alt_full_5hz.csv,sys_power,24.376237351989747,32.91867446899414,24376.23735198975
VIDEO_SW,tier1_alt_full_5hz.csv,sys_power,12.989802079582214,16.139270782470703,12989.802079582214
