protocol,config,n_cases,n_features,roc_auc_mean_score,pr_auc_mean_score,roc_auc_wc_mean_score,pr_auc_wc_mean_score,uncertainty_auc,uncertainty_pr_auc,uncertainty_log_auc,uncertainty_log_pr_auc,benign_mean_score_std,anomaly_mean_score_std,benign_p95_score_std,benign_over_p95_rate,anomaly_over_benign_p95_rate,benign_mean_log_score_std,anomaly_mean_log_score_std,benign_p95_log_score_std,benign_over_p95_log_rate,anomaly_over_benign_p95_log_rate,mean_alert_probability_benign,mean_alert_probability_anomaly
global,tier0,24,46,0.4375,0.8123886021193027,1.0,1.0000000000000002,0.35,0.7795853184464538,0.35,0.7795853184464538,0.15832760297918996,0.12711213518988487,0.24400634539900007,0.25,0.05,0.06304502337992204,0.05112191308200544,0.09475732420657111,0.25,0.05,0.5833333333333333,0.6041666666666667
global,tier0_tier1,24,64,0.42500000000000004,0.8224410496717504,1.0,1.0000000000000002,0.475,0.8285965155826509,0.475,0.8285965155826509,0.26050241546659236,0.2986152894205982,0.40085479025367976,0.25,0.15,0.09886593284295346,0.10551818896772851,0.1462031328297932,0.25,0.15,0.5833333333333334,0.7833333333333332
global,tier0_tier1_tier2,24,75,0.675,0.9044125422221398,1.0,1.0000000000000002,0.4375,0.8413046860353867,0.4375,0.8413046860353867,1.1497597442462548,1.114054337947356,3.8880189816292163,0.25,0.2,0.18953668815320468,0.1646341197007232,0.635302617820231,0.25,0.2,0.47916666666666663,0.9583333333333334
workload_holdout,tier0,24,46,0.425,0.8146519185130539,1.0,1.0000000000000002,0.3375,0.792373918735054,0.3375,0.792373918735054,143187428.38928944,114308317.44277585,486837256.2659509,0.25,0.05,2.2229937522663024,2.1847701691181,7.452251816334964,0.25,0.25,1.0,0.8625
workload_holdout,tier0_tier1,24,64,0.3125,0.7481876363212175,1.0,1.0000000000000002,0.375,0.7662833965551357,0.375,0.7662833965551357,253832737.6916628,96562603.89476964,515526190.5936118,0.25,0.0,4.3974612871996035,2.6128423168572907,8.712197087321377,0.25,0.0,1.0,0.95
workload_holdout,tier0_tier1_tier2,24,75,0.25,0.7267191568302922,1.0,1.0000000000000002,0.3,0.7659453473064827,0.3,0.7659453473064827,270667230.1692422,92067674.71537347,485004722.8314391,0.25,0.05,6.396000418255607,4.541873843094617,8.685491870989987,0.25,0.05,1.0,1.0
