stressor,n_cases,mean_power_w,mean_delta_vs_nominal_w,median_delta_vs_nominal_w,mean_energy_j
ATOMIC,4,20.092897005462646,-7.786126176381112,2.8222476211547844,20092.897005462648
BRANCH,4,23.944026316928863,-3.934996864914893,4.973748635768891,23944.026316928866
CACHE,4,27.770192327213287,-0.10883085463047015,11.475382699871066,27770.192327213288
MEMBW,4,34.223332264375685,6.344309082531929,7.982128057909013,34223.332264375684
TLB,4,23.723479126501083,-4.1555440553426735,2.456769649887085,23723.479126501083
