feature_profile,config,n_cases,n_features,fit_eval_seconds,roc_auc,pr_auc,roc_auc_wc,pr_auc_wc,fpr_run_alert,tpr_run_alert,median_nominal_score,median_anomaly_score,median_nominal_score_wc,median_anomaly_score_wc,benign_run_alert_rate,anomaly_detect_rate,median_time_to_detect_s,detect_within_120s,detect_within_300s,detect_within_600s,top1_acc,top2_acc,macro_f1,mean_margin_to_second,mean_pr_auc,worst_pr_auc,mean_roc_auc,pooled_pr_auc,pooled_roc_auc,mean_fpr,mean_tpr,runtime_s_profile,global_dir,holdout_dir,config_label,score_global,score_holdout,score_alert,score_diagnosis,score_overall
mixed,tier0,24,46,0.8002845419978257,0.8,0.9318987314285302,1.0,1.0000000000000002,0.25,0.3,0.0055175148232616,0.0119595913439959,0.0,0.0065611172915704,0.25,0.3,74.5,0.2,0.2,0.2,0.3,0.55,0.2181818181818181,0.0005113541071716,0.7825,0.71,0.25,0.7671418846872305,0.35,0.1666666666666666,0.7500000000000001,1.0796288330020616,/Users/hsiaopingni/Documents/New project/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_full,/Users/hsiaopingni/Documents/New project/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_full_holdout,Tier-0,0.15,0.0,0.0,1.0,0.1375
mixed,tier0_tier1,24,57,0.941185999996378,0.825,0.9514604197402184,1.0,1.0000000000000002,0.25,0.45,4.4501780571562586e-05,0.0001096745901502,0.0,5.608157173928438e-05,0.25,0.45,62.0,0.3,0.3,0.35,0.2,0.45,0.18,3.1246678379683272e-06,0.8241666666666667,0.71,0.35,0.8001372664984019,0.375,0.1666666666666666,0.7500000000000001,1.0796288330020616,/Users/hsiaopingni/Documents/New project/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_full,/Users/hsiaopingni/Documents/New project/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_full_holdout,Tier-0/1,0.5,0.35,0.525,0.0,0.38749999999999996
mixed,tier0_tier1_tier2,24,64,1.0796288330020616,0.8375,0.9536249219047206,1.0,1.0000000000000002,0.25,0.45,4.7629054507672235e-05,0.000118710641725,0.0,6.199982972204819e-05,0.25,0.45,62.0,0.3,0.3,0.4,0.2,0.5,0.1743145743145743,4.373928256587118e-06,0.8741666666666666,0.81,0.45,0.8026120139731494,0.35,0.1666666666666666,0.7500000000000001,1.0796288330020616,/Users/hsiaopingni/Documents/New project/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_full,/Users/hsiaopingni/Documents/New project/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_full_holdout,Tier-0/1/2,0.8500000000000001,1.0,0.525,0.3,0.7975000000000001
