feature_profile,profile_label,config,config_label,case_id,workload,stressor,label,run_score,run_score_wc,run_alert,first_block_alert_s,time_to_detect_s,n_blocks,warning_source,first_warning_s,first_warning_window_start_s,first_warning_window_end_s,first_warning_block_idx,warning_dominant_tier,warning_dominant_mechanism,warning_top_feature_1,warning_top_feature_score_1,warning_top_feature_2,warning_top_feature_score_2,warning_threshold,run_duration_s,warning_available,workload_crash,stressor_crash,run_start_utc,run_end_utc,crash_time_utc,crash_time_s,monitor_duration_s,crash_outcome_observed,crash_detected,crash_source,crash_kind,diagnostic_report_path,system_log_path,screenshot_path,evidence_note,pilot_case_id_original,pilot_name,timing_alignment,retrospective_offset_s,lead_time_s,warning_before_crash,late_warning_after_crash,warning_without_observed_crash,missing_warning_before_crash
full,Full,tier0_tier1_tier2,Tier-0/1/2,BROWSER__BRANCH,BROWSER,BRANCH,1,0.0139301118700387,0.0099897525046277,1,90.0,91.0,910,first_persistent_alert,91.0,1.0,91.0,1.0,tier0,memory_io,tier0:soft_interrupts,0.0013381295875687,tier0:swap_sout_bytes,0.0012165508566988,0.0054972916765485,999.0,1,BROWSER,BRANCH,2026-03-31 20:33:09+00:00,2026-03-31 21:43:27+00:00,2026-03-31 20:35:56+00:00,167.478639,4218.570151,1,1,"diagnostic_report,screenshot",system_or_app_crash,/Users/hsiaopingni/Documents/New project/DICE/data generation/dataset/ITC_M2Pro_DATA/workload_crash_pilots/data_workload_crash_pilot_real_browser_branch/crash_evidence/BROWSER__BRANCH_ABORT/diagnostic_reports/python3.11-2026-03-31-133556.ips,/Users/hsiaopingni/Documents/New project/DICE/data generation/dataset/ITC_M2Pro_DATA/workload_crash_pilots/data_workload_crash_pilot_real_browser_branch/crash_evidence/BROWSER__BRANCH_ABORT/system_logs/crash_window.jsonl,/Users/hsiaopingni/Documents/New project/DICE/data generation/dataset/ITC_M2Pro_DATA/workload_crash_pilots/data_workload_crash_pilot_real_browser_branch/crash_evidence/BROWSER__BRANCH_ABORT/screenshots/post_run_capture.png,,BROWSER__BRANCH_ABORT,data_workload_crash_pilot_real_browser_branch,retrospective_cross_execution,76.47863899999999,,0,0,0,0
full,Full,tier0_tier1_tier2,Tier-0/1/2,VIDEO_SW__MEMBW,VIDEO_SW,MEMBW,1,0.0093874088651473,0.0030850646183866,1,105.0,106.0,910,first_persistent_alert,106.0,16.0,106.0,16.0,tier0,memory_io,tier0:mem_free_bytes,0.0006936657962062,tier0:ctx_switches,0.0005759024849588,0.0054972916765485,999.0,1,VIDEO_SW,MEMBW,2026-03-31 22:05:23+00:00,2026-03-31 22:09:31+00:00,2026-03-31 22:08:17+00:00,174.566567,248.470156,1,1,"diagnostic_report,screenshot",system_or_app_crash,/Users/hsiaopingni/Documents/New project/DICE/data generation/dataset/ITC_M2Pro_DATA/workload_crash_pilots/data_workload_crash_pilot_real_video_membw/crash_evidence/VIDEO_SW__MEMBW_ABORT/diagnostic_reports/python3.11-2026-03-31-150817.ips,/Users/hsiaopingni/Documents/New project/DICE/data generation/dataset/ITC_M2Pro_DATA/workload_crash_pilots/data_workload_crash_pilot_real_video_membw/crash_evidence/VIDEO_SW__MEMBW_ABORT/system_logs/crash_window.jsonl,/Users/hsiaopingni/Documents/New project/DICE/data generation/dataset/ITC_M2Pro_DATA/workload_crash_pilots/data_workload_crash_pilot_real_video_membw/crash_evidence/VIDEO_SW__MEMBW_ABORT/screenshots/post_run_capture.png,,VIDEO_SW__MEMBW_ABORT,data_workload_crash_pilot_real_video_membw,retrospective_cross_execution,68.56656699999999,,0,0,0,0
full,Full,tier0_tier1_tier2,Tier-0/1/2,PY_AI__CACHE,PY_AI,CACHE,1,0.0397484557535657,0.0379465435926342,1,90.0,91.0,910,first_persistent_alert,91.0,1.0,91.0,1.0,tier2,compute,tier2:first_sample_time_ns,0.0128496246889994,tier2:last_sample_time_ns,0.011900251444912,0.0054972916765485,999.0,1,PY_AI,CACHE,2026-03-31 15:15:06+00:00,2026-03-31 16:04:08+00:00,2026-03-31 15:18:40+00:00,214.779384,2942.701153,1,1,"diagnostic_report,screenshot",system_or_app_crash,/Users/hsiaopingni/Documents/New project/DICE/data generation/dataset/ITC_M2Pro_DATA/workload_crash_pilots/data_workload_crash_pilot_real_py_ai_cache/crash_evidence/PY_AI__CACHE_ABORT/diagnostic_reports/python3.11-2026-03-31-081840.ips,/Users/hsiaopingni/Documents/New project/DICE/data generation/dataset/ITC_M2Pro_DATA/workload_crash_pilots/data_workload_crash_pilot_real_py_ai_cache/crash_evidence/PY_AI__CACHE_ABORT/system_logs/crash_window.jsonl,/Users/hsiaopingni/Documents/New project/DICE/data generation/dataset/ITC_M2Pro_DATA/workload_crash_pilots/data_workload_crash_pilot_real_py_ai_cache/crash_evidence/PY_AI__CACHE_ABORT/screenshots/post_run_capture.png,,PY_AI__CACHE_ABORT,data_workload_crash_pilot_real_py_ai_cache,retrospective_cross_execution,123.779384,,0,0,0,0
full,Full,tier0_tier1_tier2,Tier-0/1/2,PY_STATS__ATOMIC,PY_STATS,ATOMIC,1,0.0091530862739968,0.0073436384186745,1,90.0,91.0,910,first_persistent_alert,91.0,1.0,91.0,1.0,tier0,memory_io,tier0:uptime_s,0.0014331931257551,tier0:soft_interrupts,0.000782910571457,0.0054972916765485,999.0,1,PY_STATS,ATOMIC,2026-04-01 02:36:35+00:00,2026-04-01 02:40:46+00:00,2026-04-01 02:39:49+00:00,194.496976,251.182787,1,1,"diagnostic_report,screenshot",system_or_app_crash,/Users/hsiaopingni/Documents/New project/DICE/data generation/dataset/ITC_M2Pro_DATA/workload_crash_pilots/data_workload_crash_pilot_real_py_stats_atomic/crash_evidence/PY_STATS__ATOMIC_ABORT/diagnostic_reports/python3.11-2026-03-31-193949.ips,/Users/hsiaopingni/Documents/New project/DICE/data generation/dataset/ITC_M2Pro_DATA/workload_crash_pilots/data_workload_crash_pilot_real_py_stats_atomic/crash_evidence/PY_STATS__ATOMIC_ABORT/system_logs/crash_window.jsonl,/Users/hsiaopingni/Documents/New project/DICE/data generation/dataset/ITC_M2Pro_DATA/workload_crash_pilots/data_workload_crash_pilot_real_py_stats_atomic/crash_evidence/PY_STATS__ATOMIC_ABORT/screenshots/post_run_capture.png,,PY_STATS__ATOMIC_ABORT,data_workload_crash_pilot_real_py_stats_atomic,retrospective_cross_execution,103.49697599999999,,0,0,0,0
