config,benign_run_alert_rate,benign_persist_alerts_per_hour,benign_block_alerts_per_hour,anomaly_detect_rate,median_time_to_detect_s,p90_time_to_detect_s,detect_within_120s,detect_within_300s,detect_within_600s,feature_profile
tier0,0.0,0.0,0.0,0.3,116.5,873.5,0.15,0.2,0.2,full
tier0_tier1,0.0,0.0,0.0,0.4,90.0,869.1,0.3,0.3,0.3,full
tier0_tier1_tier2,0.0,0.0,0.0,0.9,90.0,862.5,0.5,0.55,0.55,full
