feature_profile,config,n_cases,n_features,fit_eval_seconds,roc_auc,pr_auc,roc_auc_wc,pr_auc_wc,fpr_run_alert,tpr_run_alert,median_nominal_score,median_anomaly_score,median_nominal_score_wc,median_anomaly_score_wc
full,tier0,24,46,2.503868790983688,0.8,0.9318987314285302,1.0,1.0000000000000002,0.25,0.3,0.00945142265261897,0.019162706699222896,0.0,0.010567380920213828
full,tier0_tier1,24,64,3.276970332954079,0.8375,0.9600396907107938,1.0,1.0000000000000002,0.25,0.65,0.014294723934275853,0.04001758609446569,0.0,0.018756734889568052
full,tier0_tier1_tier2,24,75,3.821300459036138,0.975,0.9951190476190477,1.0,1.0000000000000002,0.0,0.95,0.002887264380479037,0.007956677155771245,0.0,0.004458122164433068
