feature_profile,stressor,roc_auc,pr_auc,roc_auc_wc,pr_auc_wc,median_neg_score,median_pos_score,median_neg_score_wc,median_pos_score_wc,pos_neg_ratio,pos_neg_diff,pos_neg_ratio_wc,pos_neg_diff_wc
full,ATOMIC,0.9375,0.95,1.0,1.0,0.0029160093830735965,0.006448958877732948,0.0,0.00279718725784841,2.211154655572877,0.0035329494946593517,2798.1872578484104,0.00279718725784841
full,BRANCH,0.9375,0.95,1.0,1.0,0.0029160093830735965,0.011123176436386044,0.0,0.007771871673528035,3.813555246320364,0.008207167053312448,7772.871673528036,0.007771871673528035
full,CACHE,0.9375,0.95,1.0,1.0,0.0029160093830735965,0.008335473971411683,0.0,0.00529925317573697,2.8578838380792937,0.005419464588338087,5300.253175736971,0.00529925317573697
full,MEMBW,1.0,1.0,1.0,1.0,0.0029160093830735965,0.007619953617251387,0.0,0.004023861535031635,2.61259139633666,0.00470394423417779,4024.861535031636,0.004023861535031635
full,TLB,0.9375,0.95,1.0,1.0,0.0029160093830735965,0.007675986016241094,0.0,0.004766297935726446,2.6318002474685227,0.004759976633167497,4767.297935726447,0.004766297935726446
