tier,workload,stressor,label,run_score_median,run_score_mean,run_score_p95,samples_1hz
tier0,BROWSER,ATOMIC,1,5.315479743723203,5.564660535579456,6.826914930749135,1000
tier0,BROWSER,BRANCH,1,5.0613196558365265,7.047987371911811,19.017181324396738,1000
tier0,BROWSER,CACHE,1,3.2511662984291188,3.664452792734167,5.76439667189004,1000
tier0,BROWSER,MEMBW,1,4.76199830980056,4.849900109717904,6.309357621496517,1000
tier0,BROWSER,NOMINAL,0,0.7022714289242157,1.2816642437762953,4.125231657241673,1000
tier0,BROWSER,TLB,1,4.294606103361096,4.574360092649647,6.844941194473648,1000
tier0,PY_AI,ATOMIC,1,6.3568588110017705,5.983621385279919,8.828405990070127,1000
tier0,PY_AI,BRANCH,1,2.6734014156682138,3.054677490647285,5.048281105923444,1000
tier0,PY_AI,CACHE,1,2.8108755860239976,3.024973256445407,4.99909840223245,1000
tier0,PY_AI,MEMBW,1,3.2760175535895044,3.4463681115821116,5.761745280706405,1000
tier0,PY_AI,NOMINAL,0,0.7636080691733811,1.6272070932319433,3.947006519036656,1000
tier0,PY_AI,TLB,1,2.141847808287675,2.4370429682758084,4.243965387370851,1000
tier0,PY_STATS,ATOMIC,1,6.0194390743060255,6.579005005566413,9.83303228207746,1000
tier0,PY_STATS,BRANCH,1,4.353098051855545,4.700746027348065,6.0778122497971925,1000
tier0,PY_STATS,CACHE,1,2.1048024407349404,2.7226653713344993,5.005126368297443,1000
tier0,PY_STATS,MEMBW,1,5.576420439319456,6.444608276255113,9.653460896432888,1000
tier0,PY_STATS,NOMINAL,0,1.1639817726891453,2.0026483747573853,4.486614208000891,1000
tier0,PY_STATS,TLB,1,3.5939105614188596,4.445021293741141,7.908179447303437,1000
tier0,VIDEO_SW,ATOMIC,1,2.9124205720175107,4.005820966951544,7.420098260899772,1000
tier0,VIDEO_SW,BRANCH,1,1.628885183975776,2.6069274608177504,3.9503279672129157,1000
tier0,VIDEO_SW,CACHE,1,1.6941574261185375,1.8592851685231098,2.79334691510382,1000
tier0,VIDEO_SW,MEMBW,1,2.987893035461858,4.395395519856395,10.842012494619325,1000
tier0,VIDEO_SW,NOMINAL,0,0.9403529592627152,1.8128292040346423,4.3894459826784145,1000
tier0,VIDEO_SW,TLB,1,1.589977778869906,1.9716256311408322,3.382335609034902,1000
tier1_alt,BROWSER,ATOMIC,1,16.356238131338497,17.488011577146807,27.99183388388743,1000
tier1_alt,BROWSER,BRANCH,1,16.489201285365258,25.43259094165534,84.5645688918103,1000
tier1_alt,BROWSER,CACHE,1,26.622726432403145,53.762731385874915,199.2950508796718,1000
tier1_alt,BROWSER,MEMBW,1,25.59760520898851,34.65215020983204,93.2976966094736,1000
tier1_alt,BROWSER,NOMINAL,0,0.27305462731622737,4.471860715984463,29.780803753801287,1000
tier1_alt,BROWSER,TLB,1,25.855224405907993,38.09244213393907,100.02739543450323,1000
tier1_alt,PY_AI,ATOMIC,1,0.6386406668614232,0.9786347987231704,0.8651685915413142,1000
tier1_alt,PY_AI,BRANCH,1,0.46785289839740374,2.942044580112899,0.7849821887213886,1000
tier1_alt,PY_AI,CACHE,1,62.338224230655065,80.67898378750617,171.7213768824835,1000
tier1_alt,PY_AI,MEMBW,1,0.33497616719647705,1.2534765356151294,0.6141948403743186,1000
tier1_alt,PY_AI,NOMINAL,0,0.36597682444852203,0.36706830799729795,0.5270213841566178,1000
tier1_alt,PY_AI,TLB,1,0.54167196507232,0.9060982363635983,0.8771771370248601,1000
tier1_alt,PY_STATS,ATOMIC,1,2.314560400261847,2.6367897128175724,5.208003860693312,1000
tier1_alt,PY_STATS,BRANCH,1,0.9576777272392251,1.3885646193385197,3.873953207060495,1000
tier1_alt,PY_STATS,CACHE,1,1.0921676500141975,1.2684879878088255,3.125166996525176,1000
tier1_alt,PY_STATS,MEMBW,1,0.876702814600393,1.051012080478739,2.0856645734575783,1000
tier1_alt,PY_STATS,NOMINAL,0,0.42622498929867314,0.8859657864841911,4.329443270244151,1000
tier1_alt,PY_STATS,TLB,1,0.5759828594362091,0.6396416508614731,0.835990203247123,1000
tier1_alt,VIDEO_SW,ATOMIC,1,5.407079101226284,5.591603585388193,12.812561066928948,1000
tier1_alt,VIDEO_SW,BRANCH,1,1.9403143174910533,2.299110636827114,4.575429856044457,1000
tier1_alt,VIDEO_SW,CACHE,1,4.239837278437605,4.831231738357543,7.621585688968436,1000
tier1_alt,VIDEO_SW,MEMBW,1,3.672705684177835,4.4432618553478695,7.374184055737652,1000
tier1_alt,VIDEO_SW,NOMINAL,0,0.38126978494807195,0.5879227293797937,1.5114016654765368,1000
tier1_alt,VIDEO_SW,TLB,1,3.211685146518777,4.538459935375157,9.787808187992841,1000
tier2,BROWSER,ATOMIC,1,142.94507132203472,174.47411679883115,347.1323444137785,1000
tier2,BROWSER,BRANCH,1,44.04978492567213,43.842226797654774,45.42867281631812,1000
tier2,BROWSER,CACHE,1,114.82197816312376,142.93648991699254,297.5205748971456,1000
tier2,BROWSER,MEMBW,1,129.29506169177,172.178068329495,404.30899653078586,1000
tier2,BROWSER,NOMINAL,0,0.4927409816634379,0.602708505850282,1.4072575945090093,1000
tier2,BROWSER,TLB,1,43.872026050739876,43.807911414808814,45.38800778010911,1000
tier2,PY_AI,ATOMIC,1,3.113201756394636,3.036347465189652,3.6742241752670206,1000
tier2,PY_AI,BRANCH,1,0.8968353220068135,0.8963227509188664,1.2215732801203476,1000
tier2,PY_AI,CACHE,1,1.1156572345666036,1.1897513505026558,2.0167250867212423,1000
tier2,PY_AI,MEMBW,1,1.1715904971843436,1.231939670311127,1.930352932444161,1000
tier2,PY_AI,NOMINAL,0,0.6664259131801964,0.7440380422135007,1.1895408000969476,1000
tier2,PY_AI,TLB,1,0.9125116274197319,0.8919330134095417,1.1853812422443535,1000
tier2,PY_STATS,ATOMIC,1,182.1715550133065,183.42816498801793,223.2489580644684,1000
tier2,PY_STATS,BRANCH,1,347.18486405337535,347.029637302149,358.8602330945061,1000
tier2,PY_STATS,CACHE,1,563.1247715934603,563.2751683317858,564.6018579834669,1000
tier2,PY_STATS,MEMBW,1,563.0500632896678,563.239742438924,564.9060188576196,1000
tier2,PY_STATS,NOMINAL,0,0.24701635372490824,0.4556200285526839,1.2527845492066325,1000
tier2,PY_STATS,TLB,1,344.94958250166616,344.5540516816307,358.62554587128676,1000
tier2,VIDEO_SW,ATOMIC,1,2.274255015248873,2.307557680461363,2.5028476174086274,1000
tier2,VIDEO_SW,BRANCH,1,2.5275591928190337,2.5930490992484856,2.758357735834631,1000
tier2,VIDEO_SW,CACHE,1,2.9153958424954567,3.3734877090608824,5.523441535329025,1000
tier2,VIDEO_SW,MEMBW,1,3.8353615576225843,3.8333219650348065,3.904278318837845,1000
tier2,VIDEO_SW,NOMINAL,0,0.6665976071156665,1.0108630002993433,3.1821192274683727,1000
tier2,VIDEO_SW,TLB,1,2.5207274596270093,2.587338286816399,2.7501560089001353,1000
