true_stressor,CACHE,TLB,BRANCH,MEMBW,ATOMIC,ABSTAIN
CACHE,0,0,0,0,3,1
TLB,0,0,1,0,3,0
BRANCH,0,1,2,0,1,0
MEMBW,0,1,2,0,0,1
ATOMIC,0,1,1,1,0,1
