true_stressor,CACHE,TLB,BRANCH,MEMBW,ATOMIC
CACHE,1,0,0,1,2
TLB,0,3,0,0,1
BRANCH,1,0,0,1,2
MEMBW,0,1,0,2,1
ATOMIC,0,2,0,0,2
