true_stressor,CACHE,TLB,BRANCH,MEMBW,ATOMIC
CACHE,0,2,0,0,2
TLB,0,1,2,0,1
BRANCH,0,1,2,0,1
MEMBW,0,1,1,0,2
ATOMIC,0,1,1,1,1
