feature_profile,config,holdout_workload,roc_auc,pr_auc,roc_auc_wc,pr_auc_wc,fpr,tpr,n_features
mixed,tier0,ALL,0.7875,0.9218987314285301,1.0,1.0000000000000002,0.041666666666666664,0.25,46
mixed,tier0_tier1,ALL,0.825,0.9550396907107939,1.0,1.0000000000000002,0.041666666666666664,0.4583333333333333,57
mixed,tier0_tier1_tier2,ALL,0.8375,0.9570159752957741,1.0,1.0000000000000002,0.041666666666666664,0.4583333333333333,64
