tier,tier_name,workload,nominal_score,anomaly_median_score,anomaly_nominal_ratio,anomaly_p95_score
tier0,Tier-0,BROWSER,0.7022714289242157,4.76199830980056,6.780851553491949,5.264647726145868
tier0,Tier-0,PY_AI,0.7636080691733811,2.8108755860239976,3.681044896583057,5.740690559519317
tier0,Tier-0,PY_STATS,1.1639817726891453,4.353098051855545,3.7398335214432517,5.930835347308712
tier0,Tier-0,VIDEO_SW,0.9403529592627152,1.6941574261185375,1.80161864694406,2.9727985427729884
tier1_alt,Tier-1,BROWSER,0.27305462731622737,25.59760520898851,93.74536319155624,26.469226027104114
tier1_alt,Tier-1,PY_AI,0.36597682444852203,0.54167196507232,1.4800717665307548,49.99830751789632
tier1_alt,Tier-1,PY_STATS,0.42622498929867314,0.9576777272392251,2.2468831046550735,2.0700818502123166
tier1_alt,Tier-1,VIDEO_SW,0.38126978494807195,3.672705684177835,9.63282648969526,5.173630736668548
tier2,Tier-2,BROWSER,0.4927409816634379,114.82197816312376,233.0270516068396,140.21506939598177
tier2,Tier-2,PY_AI,0.6664259131801964,1.1156572345666036,1.674090416504054,2.724879504552577
tier2,Tier-2,PY_STATS,0.24701635372490824,347.18486405337535,1405.5136788174561,563.1098299327018
tier2,Tier-2,VIDEO_SW,0.6665976071156665,2.5275591928190337,3.791731572142691,3.6513684145971586
