tier,case_id,workload,stressor,rows_5hz,cols_total,numeric_cols,nan_fraction,file_bytes
tier2,PY_STATS__BRANCH,PY_STATS,BRANCH,5000,10,9,0.0,352947
tier2,PY_STATS__CACHE,PY_STATS,CACHE,5000,10,9,0.0,308062
tier2,PY_STATS__MEMBW,PY_STATS,MEMBW,5000,10,9,0.0,295726
tier2,PY_STATS__NOMINAL,PY_STATS,NOMINAL,5000,10,9,0.0,289492
tier2,PY_STATS__TLB,PY_STATS,TLB,5000,10,9,0.0,353177
tier2,VIDEO_SW__ATOMIC,VIDEO_SW,ATOMIC,5000,10,9,0.0,353189
tier2,VIDEO_SW__BRANCH,VIDEO_SW,BRANCH,5000,10,9,0.0,354726
tier2,VIDEO_SW__CACHE,VIDEO_SW,CACHE,5000,10,9,0.0,364759
tier2,VIDEO_SW__MEMBW,VIDEO_SW,MEMBW,5000,10,9,0.0,345460
tier2,VIDEO_SW__NOMINAL,VIDEO_SW,NOMINAL,5000,10,9,0.0,364240
tier2,VIDEO_SW__TLB,VIDEO_SW,TLB,5000,10,9,0.0,354618
