tier,tier_name,n_features_common,n_features_union,n_cases,roc_auc,pr_auc,median_nominal,median_anomaly,anom_nom_ratio,threshold_q95_nominal,fpr_at_q95,tpr_at_q95
tier0,Tier-0,46,51,24,1.0,1.0,0.8519805142180481,3.263591926009312,3.83059456353978,1.1304374506751806,0.25,1.0
tier1_alt,Tier-1,11,13,24,0.9624999999999999,0.9934782608695651,0.37362330469829697,2.763122773390312,7.395477580324264,0.419481708646083,0.25,0.95
tier2,Tier-2,7,9,24,1.0,1.0,0.5795834474218171,23.85369380418123,41.156616722319036,0.6665718530253459,0.25,1.0
