config,benign_run_alert_rate,benign_run_keep_rate,benign_persist_alerts_per_hour,benign_block_alerts_per_hour,anomaly_detect_rate,median_time_to_detect_s,p90_time_to_detect_s,detect_within_120s,detect_within_300s,detect_within_600s
tier0,0.25,0.75,75.16483516483517,77.14285714285714,0.3,92.0,716.5,0.2,0.2,0.2
tier0_tier1,0.25,0.75,66.26373626373626,68.24175824175825,0.55,92.0,837.0,0.3,0.4,0.4
tier0_tier1_tier2,0.25,0.75,64.28571428571429,66.26373626373626,0.9,92.0,801.0,0.55,0.55,0.6
