config,n_cases,top1_acc,top2_acc,family_acc,balanced_acc,macro_f1,coverage,abstain_rate,selective_top1_acc,selective_top2_acc,selective_balanced_acc,selective_macro_f1,mean_margin_to_second,median_margin_to_second,mean_family_margin,median_family_margin,family_margin_tau,confidence_tau,feature_profile
tier0,20,0.15,0.6,0.4,0.15,0.1349206349206349,0.8,0.2,0.125,0.625,0.13333333333333333,0.12380952380952381,-0.005572986166624237,0.006449771913132715,0.014216672353907101,0.010873163781946958,0.010474823129139037,-0.08145495079774137,full
tier0_tier1,20,0.2,0.4,0.5,0.2,0.17820512820512818,0.35,0.65,0.14285714285714285,0.2857142857142857,0.1,0.06666666666666667,-0.002682136795257234,0.008050493238979023,0.023534816175966124,0.024354141593186572,0.013680501562324275,0.08261641553608556,full
tier0_tier1_tier2,20,0.3,0.5,0.4,0.3,0.24666666666666667,0.8,0.2,0.25,0.5,0.26666666666666666,0.21939393939393942,-0.0012137910610998698,0.00952648314605585,0.02008092301458613,0.016016598134674296,0.00679037725031564,-0.19071726576045792,full
