true_stressor,CACHE,TLB,BRANCH,MEMBW,ATOMIC,ABSTAIN
CACHE,0,0,0,1,0,3
TLB,1,0,0,0,0,3
BRANCH,1,0,0,0,1,2
MEMBW,1,0,0,0,0,3
ATOMIC,0,1,0,0,0,3
