config,n_cases,top1_acc,top2_acc,family_acc,balanced_acc,macro_f1,coverage,abstain_rate,selective_top1_acc,selective_top2_acc,selective_balanced_acc,selective_macro_f1,mean_margin_to_second,median_margin_to_second,mean_family_margin,median_family_margin,family_margin_tau,confidence_tau,feature_profile
tier0,20,0.45,0.6,0.55,0.45,0.39047619047619053,0.45,0.55,0.4444444444444444,0.5555555555555556,0.4,0.29333333333333333,-0.010131722830646154,0.0032145156491555082,0.01565711006920907,0.014702452640735409,0.010295760226275052,0.0628277193478847,mixed
tier0_tier1,20,0.25,0.65,0.35,0.25,0.20606060606060606,0.6,0.4,0.3333333333333333,0.6666666666666666,0.3,0.2688888888888889,-0.001556385758912085,0.0003580233339095795,0.022758619278163018,0.022434581160102652,0.014609559507066659,0.015743367450405353,mixed
tier0_tier1_tier2,20,0.5,0.7,0.35,0.5,0.4624242424242424,0.6,0.4,0.6666666666666666,0.8333333333333334,0.6333333333333333,0.6047619047619047,0.0071668640458312696,0.005969798632980125,0.01957191728243859,0.015782664149195665,0.017908410460840733,0.027970791591537744,mixed
