stressor,roc_auc,pr_auc,roc_auc_wc,pr_auc_wc,median_neg_score,median_pos_score,median_neg_score_wc,median_pos_score_wc,pos_neg_ratio,pos_neg_diff,pos_neg_ratio_wc,pos_neg_diff_wc
ATOMIC,0.75,0.7708333333333333,1.0,1.0,4.6862051645475975e-05,9.072317933254777e-05,0.0,4.0947972261194276e-05,1.9164071781117986,4.38611276870718e-05,41.94797226119427,4.0947972261194276e-05
BRANCH,0.9375,0.95,1.0,1.0,4.6862051645475975e-05,0.00018936101304140894,0.0,0.00013494858014124247,3.9772848529656017,0.00014249896139593296,135.94858014124247,0.00013494858014124247
CACHE,0.8125,0.8041666666666667,1.0,1.0,4.6862051645475975e-05,9.951941430394028e-05,0.0,5.603067424843378e-05,2.100190251945491,5.265736265846431e-05,57.03067424843378,5.603067424843378e-05
MEMBW,0.9375,0.95,1.0,1.0,4.6862051645475975e-05,0.0001453214057661282,0.0,8.129397548623562e-05,3.057148633116709,9.845935412065222e-05,82.29397548623562,8.129397548623562e-05
TLB,0.8125,0.8041666666666667,1.0,1.0,4.6862051645475975e-05,0.00010714859956229993,0.0,4.637407662334648e-05,2.2595897134410112,6.028654791682395e-05,47.37407662334648,4.637407662334648e-05
